,Unnamed: 0,text,identity_attack_x,bias,target,category,rationale,race,religion,gender,lgbtq,political
1153,1153,Thats funny.  Elsewhere the poster to whom you were responding claimed that quell was a word used by anti muslim trolls.,0.5,1,muslims,religion,prejudice against muslims,0,1,0,0,0
7880,7880,"We have a legal and policy framework that ""enables"" us to do so. If women are being victims of sexual abuse and violence, then it is also our responsibility to address this situation and put an end to it.",0.25,0,women,none,,0,0,0,0,0
635,635,Did Omar renounce Allah and Islam ? The Quran wants your neck to stone you crucify you if you dont believe in the Allah of Islam.,0.5,1,muslims,religion,prejudice against muslims,0,1,0,0,0
610,610,white people are the real terrorists. This lady is racist.,0.689189189,0,,none,,0,0,0,0,0
4116,4116,So Negros are 12 percent of the population sadly.  NFL is 80 percent black players.  NFL head coach 25 percent.    Opps wrong topic.  Black Vance must go.  His IQ is too low and he looks totally lost.  He is lucky to have a win at all.  Chargers and Raiders almost beat us in the end.  I see no trace whatsoever of the Broncos of past on offense.  Vance must swallow hard and admit Semen is not his thing.,0.5125,1,blacks,race,prejudice against blacks,1,0,0,0,0
1245,1245,Muslim ban,0.648648649,1,muslims,religion,prejudice against muslims,0,1,0,0,0
3082,3082,Where does it say anything about Muslims being the cause of his fear?,0.5,0,,none,,0,0,0,0,0
5425,5425,"You cannot be 'progressive' by rejecting people of a certain religion. What is progress about, to you? Your claim sounds based on the moral superiority.",0.25,0,muslims,none,,0,0,0,0,0
1780,1780,Oh my God Hillary was just on TV sticking up for the Muslims and in effect the Bomber.  Is she nuts?  The terror risk is increased by allowing more Muslim immigrants.,0.5,1,muslims,religion,prejudice against muslims,0,1,0,0,0
5144,5144,"A lot of immigrants feel insecure and unsafe in their own country, if we want to make our country better, we need to make sure everyone, immigrant or not, feels safe and protected.",0.25,0,migrants,none,,0,0,0,0,0
5222,5222,I think that Jews are a part of our country. Why would they need your consent?,0.25,0,jews,none,,0,0,0,0,0
4651,4651,This is simply not true and how can you say this about such a large group of people from all walks of life?,0.25,0,muslims,none,,0,0,0,0,0
7380,7380,"As far as I'm aware, Muslims are not incompatible with Western societies - and many of them are just as proud of their religion.",0.25,0,muslims,none,,0,0,0,0,0
4,4,Another Muslim commits a terrorist act and democrats will once again blame the NRA. NYC New Jersey Minnesota Orlando San Bernardino. Get it yet?,0.5,1,muslims,religion,prejudice against muslims,0,1,0,0,0
1755,1755,Are you saying only nonMuslims kill people in Mosques? Most attacks on Mosques are performed by Muslims.,0.9,1,muslims,religion,prejudice against muslims,0,1,0,0,0
3288,3288,Tell that to the Islamists who pray five times a day.  Tell that to the sex fiends who are teaching Grade 3 students homosexuality and gender identity  What kind of men and boys will these students be to women when they have no SELF CONTROL.,0.5,1,"muslims,homosexuals",lgbtq,prejudice against muslims and homosexuals,0,0,0,1,0
5922,5922,This is not true. Most of them are actually skilled workers.,0.25,0,migrants,none,,0,0,0,0,0
2614,2614,The Trump solution: Round up all the Samoans and Blacks lock em up and deport em.,0.8,0,,none,,0,0,0,0,0
7640,7640,To say that they have a stranglehold is not much different than to speak against minorities that in the past have been persecuted.,0.25,0,jews,none,,0,0,0,0,0
4897,4897,"Would be intersting to see how much money ""foreigners"" are giving the UK in terms of taxes. It's not hard to see how much we have to thank them for. Would be beneficial for everyone to focus on stopping tax evasion instead.",0.25,0,migrants,none,,0,0,0,0,0
4264,4264,As more women take on positions of authority the less free speech there will be.,0.5,1,women,gender,prejudice against women,0,0,1,0,0
7893,7893,"Whites, Latinos, Asians and people from all over the world want to be part of our society. So do people of color.",0.25,0,poc,none,,0,0,0,0,0
7529,7529,I am not sure that they should be banned. Migrants are people too. They are good to have in our society. And many of them are helping us to develop our country.,0.25,0,migrants,none,,0,0,0,0,0
4527,4527,But there is also evidence that shows that transgender students who attend classes that don't include them get lower grades. Discrimination begins in schools.,0.25,0,lgbtq,none,,0,0,0,0,0
7244,7244,"You cannot mix up race with religion, they are two separate things...",0.25,0,jews,none,,0,0,0,0,0
5290,5290,The vast majority of migrants who come to the UK are happy to work for the benefit of our country.,0.25,0,migrants,none,,0,0,0,0,0
5340,5340,Everyone coming together to help climate change will inevitably make a change.,0.25,0,other,none,,0,0,0,0,0
1840,1840,This man is such a piece of garbage.   Can you IMAGINE the right wing poutrage if the first black president had done even half of what this clown does?,0.263888889,0,,none,,0,0,0,0,0
5820,5820,"The fact that some women don't want the protection of the law should not negate their right to live their life as they wish. In my opinion, woman are people too and this ""men's rights"" stuff is just an excuse to oppress and marginalize all women once more.",0.25,0,women,none,,0,0,0,0,0
3368,3368,Trudeau is riding his success on dark people by calling Canadians racists when they dont agree . He is pitting black against white and his bet is he can get enough refugees in the country to keep his power. He is one sick manipulator.,0.271428571,0,,none,,0,0,0,0,0
5215,5215,I think the evidence would suggest the opposite. Immigrants have helped our country to develop and to create new job opportunities.,0.25,0,migrants,none,,0,0,0,0,0
6613,6613,Islam is a religion that has had a huge and positive impact on human history and Western culture. To hate a religion is to hate all religions.,0.25,0,muslims,none,,0,0,0,0,0
569,569,No white privilege no white guilt. No white guilt means no more free stuff. They will keep pushing the white privilege as its the new argument to make all whites unconsciously racist.,0.5,1,whites,race,prejudice against whites,1,0,0,0,0
6096,6096,I don't think that what you are saying is true. I think that the idea that Muslims are incompatible with Western society is a myth.,0.25,0,muslims,none,,0,0,0,0,0
7216,7216,So 90-95% are not?,0.25,0,muslims,none,,0,0,0,0,0
5566,5566,How can they? By simply being of a different religion?,0.25,0,jews,none,,0,0,0,0,0
78,78,White lady ?  What  a disgusting remark.,0.256756757,0,,none,,0,0,0,0,0
4019,4019,Arabs cant live in relative peace with other Arabs. Balfur declaration or not.,0.5,1,arabs,race,prejudiced against arabs,1,0,0,0,0
6406,6406,"Children with learning difficulties can contribute to society, thus they should be part of education.",0.25,0,disabled,none,,0,0,0,0,0
3199,3199,Black idiot or white idiot. What is the difference?,0.8,1,"blacks,whites",race,prejudice against blacks and whites,1,0,0,0,0
6756,6756,On the contrary: the Women's March was a success. The whole country came out in support. Maybe we have seen two different parades.,0.25,0,women,none,,0,0,0,0,0
6547,6547,The vast majority of Muslims that live in the UK are integrated into our society very well. Why should you want to break this integration process?,0.25,0,other,none,,0,0,0,0,0
4202,4202,Make America Great Again    Like it was in the past for women blacks gays.  Make America Great Again means............   Return To The America Where And When All You Had To Do Was Be Born A White Male And You Had It Made   and everybody else.......not so much.  Its no coincidence that the core of Trumps support was white males.,0.8,0,,none,,0,0,0,0,0
3201,3201,The article should read how these women will clustercuck NAFTA negotiations.  Women have no right to even vote let alone attempt to negotiate anything.  Look what they did by voting in this man child feminist.,0.5,1,"men,women",gender,prejudice against men and women,0,0,1,0,0
6298,6298,"People have the right to practice whatever religion they want, as long as it respects the law and doesn't violate the dignity of other human beings.",0.25,0,muslims,none,,0,0,0,0,0
1500,1500,Cant wait to find out this is the act of the JV Team  The Death Cult known as Islam.,0.6,1,muslims,religion,prejudice against muslims,0,1,0,0,0
4170,4170,Exactly American are just bunch of hypocrites.,0.626865672,1,americans,race,prejudice against americans,1,0,0,0,0
3796,3796,The darling of the left wings can say as she pleases the progressive media will treat her with kids gloves.  Dont forget her The White House was built solely by black slaves The lady is a racist one for sure.,0.5,1,"left,blacks","political,race",prejudice against lefts and blacks,1,0,0,0,1
483,483,48 of American Muslims say homosexuality should not be accepted by society.   If you think thats not a significant statistic thats your judgement not mine.,0.7,1,"muslims,homosexuals","religion,lgbtq",prejudice against muslims and lgbtq,0,1,0,1,0
6008,6008,"Feminism is all about equality and the rights of all groups to be protected. Feminism does not discriminate and is not meant to ""hurt"" men.",0.25,0,women,none,,0,0,0,0,0
4100,4100,What the heck is a pure Republican?  Corrupt Bastards Club?  Take taxpayers money and overseas bank your own?  Bash homosexuals when you have given birth to a homosexual Phyllis Schalfly and Dick Cheney take the nation into two wars Iraq and Afghanistan and rack up 7 trillion?  Support deregulation and bankrupt the nation?  You mean that kind of pure Republicanism?  Tell the truth without red ears.,0.518518519,1,,lgbtq,,0,0,0,1,0
105,105,They are the freakie new breed of drag queens. They cant even admit they are gay.,0.8,1,gays,lgbtq,prejudice against men,0,0,0,1,0
3543,3543,Deport himoh wait he is white. Well how can that be? I thought only illegal aliens committed crime,0.65,1,whites,race,prejudice against whites,1,0,0,0,0
3295,3295,Yeah thats what the homosexual activists call anything that disagrees with homosexual acts: bullying.  Whats really bullying is sticking your penis in someones anus.,0.642857143,1,homosexuals,lgbtq,prejudice against homosexuals,0,0,0,1,0
5318,5318,The vast majority of Muslims do not call for terrorism and are peaceful. Why shouldn't I be more concerned about the violent islamophobes of the world than about the peaceful Muslims of Europe?,0.25,0,muslims,none,,0,0,0,0,0
5402,5402,"Women are not childlike, this notion is not supported by the facts, at least in my opinion.",0.25,0,women,none,,0,0,0,0,0
552,552,You seem to be frightened by whites and you are white...Insane,0.594594595,1,whites,race,prejudice against whites,1,0,0,0,0
6245,6245,"I am not sure about their ""remaining in the shadows"" mentality, but they certainly have our nation's best interests in mind.",0.25,0,migrants,none,,0,0,0,0,0
4738,4738,"Why would they? They, like anybody, have the freedom to choose their own religion. This does not mean they want to erase other religions though.",0.25,0,jews,none,,0,0,0,0,0
1908,1908,All his phony leaks was a figament of his imagination any one can imagine hearing  something other than what was really said like I would love to eat a donut the man says and then repeating that he heard the man say he ate 6 donuts. and thats the case here comey should have never had the position as FBI director he is a pansie dude and probably GAY.,0.5,1,gays,lgbtq,prejudice against gays,0,0,0,1,0
8128,8128,People can and do attach undesirable characteristics to a wide variety of groups. This is quite natural when you are scared. But being natural does not mean it is correct.,0.25,0,poc,none,,0,0,0,0,0
6532,6532,How about you start citing the actual studies you are referring to and where this research has been conducted?,0.25,0,migrants,none,,0,0,0,0,0
6774,6774,"I'm sure you're tired of hearing about other's bodies, but this is an individual's right to use their own body to their liking.",0.25,0,lgbtq,none,,0,0,0,0,0
1400,1400,More garbage from California.,0.5,1,california,race,prejudice towards california,1,0,0,0,0
5801,5801,"People with Down Syndrome are not inferior to anyone else. Our genetic condition isn't something to be ashamed of, maybe we should be less judgemental about others.",0.25,0,disabled,none,,0,0,0,0,0
6846,6846,"To be honest, there are already programs that provide for this and several families are hosting migrants in their own houses.",0.25,0,migrants,none,,0,0,0,0,0
3507,3507,white trash Wow If black was substitute for white the term would be seen as racist. But then again only whites can be racist right?,0.845070423,1,"whites,blacks",race,prejudice towards blacks and whites,1,0,0,0,0
2380,2380,Ive said it many times before and Ill say it again. America learned to walk on violence. Like a toddler. Slavery and the wanton killing of Black slaves for standing up to their white owners begat murder and mayhem. Killing Native Americans at will and for their lands came next. There is no other explanation. A nation brought up on a murderous legacy is what we are dealing with now. Until America turns to face itself on all these counts nothing will change.,0.5,1,"america,blacks,whites",race,prejudice against and towards races,1,0,0,0,0
1482,1482,Lets hope she does not create more terrorist breeding grounds. Bush. Obama and Hilary really gave a boost to the spread of Islam which is pretty stupid.,0.513513514,1,muslims,religion,prejudice against muslims,0,1,0,0,0
4277,4277,That is because 95 of men that live in Alaska are losers,0.515151515,1,"alaskans,men","race,gender",prejudice against alaskans men,1,0,1,0,0
4747,4747,"Diversity is about inclusion, not an 'us or them' attitude. Loving someone of their own sex doesn't make them any less human.",0.25,0,lgbtq,none,,0,0,0,0,0
7645,7645,"They have the right to be treated as guest workers, and they have the right to be paid what is reasonable according to the law.",0.25,0,migrants,none,,0,0,0,0,0
577,577,Is this hate speech? Im white my kids are not. What do you think their thoughts are after reading crap like this?,0.275,0,,none,,0,0,0,0,0
7740,7740,"I suppose if they were claiming you were a child molester with no evidence as you are doing with them, you might as well be offended.",0.25,0,women,none,,0,0,0,0,0
6187,6187,It is incumbent on Muslims to live up to the teachings of the Quran: and this does not include banning women from society.,0.25,0,muslims,none,,0,0,0,0,0
6957,6957,"Your attitude about Islam is deeply flawed and you need to have a mature and open mind. Even if you find Islam repulsive, that does not mean you have to resort to irrational arguments to try and shut it down.",0.25,0,muslims,none,,0,0,0,0,0
7830,7830,Islam's core values are similar to Western values. To say that Islam is ruining Western culture is a complete and total distortion of the truth.,0.25,0,muslims,none,,0,0,0,0,0
5172,5172,"Although there are people who are attracted to people of their own sex, this is not a characteristic shared by everyone, and it is not a characteristic you should be trying to ""cure"".",0.25,0,lgbtq,none,,0,0,0,0,0
6195,6195,"Muslims have contributed greatly to our culture, so it seems to me that they do have a place here.",0.25,0,muslims,none,,0,0,0,0,0
2634,2634,I missed the news on the pride parade in Gaza this year but contemptible terrorist sympathizers dont like to talk about the pious leanings of Hamas. They also like to avoid the policy of paying off terrorists and renaming streets after cowards who stab senior citizens to death while they wait for the bus how noble.  Israel is an island of ingenuity and progress surrounded by midevil Islamist zealots. But when all else fails blame the Jews  hows the weather in Virginia?,0.5,1,jews,religion,prejudice against jews,0,1,0,0,0
7096,7096,I do not know if there is a fair interpretation of your words. Maybe if you were more sensitive you might understand that relationships are about far more than simply sex.,0.25,0,women,none,,0,0,0,0,0
69,69,... Republicans are super fakey christian dirt bags ... theyd stab anyone in the back for a buck.,0.571428571,1,"republicans,christians","political,religion",prejudice against republican christians,0,1,0,0,1
3890,3890,Its our police killing blacks  Why......why.......it has to be doesnt it?,0.625,1,blacks,race,prejudice towards blacks,1,0,0,0,0
2473,2473,trudeau just put a somali muslim in charge of immigrtion......  guess what?  terrorist attacks come to canada  we are screwed,0.5375,1,muslims,religion,prejudice against muslims,0,1,0,0,0
1289,1289,Only if you prefer North Korean style law.,0.272727273,0,,none,,0,0,0,0,0
5356,5356,"Let's face it: the drug trade is full of criminals and crooks, it does not depend on the skin tone of people.",0.25,0,poc,none,,0,0,0,0,0
1702,1702,Wow what a load of BS.  Trumps victory did not lead to more hate crimes except it did lead to more fake hate crimes all reported by lying muslims to gin up hysteria found here.  More fake news and lies from the media.,0.5,1,muslims,religion,prejudice against muslims,0,1,0,0,0
1573,1573,Perhaps the women were black as well as Muslim. From the article: Portland police Sgt. Pete Simpson says the assailant on the train was ranting on many topics using hate speech or biased language and turned his focus on the women.,0.5,1,"blacks,muslims","race,religion",prejudice against blacks and muslims,1,1,0,0,0
874,874,He had full auto what sounded like an AR 223 5.56. I doubt he paid the 200 dollar tax stamp and 65k for a legal one. He is thought to be a Muslim convert so lets ban Muslims. fuck the left.,0.75,1,"muslims,liberals","religion,political",prejudice against liberals,0,1,0,0,1
5165,5165,There is no evidence that 'gay sex' is more harmful than 'heterosexual sex'.,0.25,0,lgbtq,none,,0,0,0,0,0
5545,5545,Is there such a thing as being 'too tolerant'?,0.25,0,migrants,none,,0,0,0,0,0
1193,1193,If he is an example of what it means to be a recovering homosexual whatever that means. Can one be a recovering heterosexual? then I am pleased to be a very proud UNrecovered gay man,0.6,0,,none,,0,0,0,0,0
6850,6850,The vast majority of immigrants come to the U.S. for economic opportunity or to flee violence and poverty. They are not interested in the Fourteenth Amendment and birthright citizenship.,0.25,0,migrants,none,,0,0,0,0,0
2177,2177,Here we go again Mike Brooks expressing his fear and loathing for homosexuals and obsessing about sodomy. His Ergo any gayfriendly parish is Catholicunfriendly.  is one of the nastiest comments I have read in this thread.,0.5,1,"homosexuals,gays,catholics","lgbtq,religion",prejudice against lgbtq and catholics,0,1,0,1,0
4271,4271,Anarchists and International communists vs National Socialists. SAME SHIT.  Only this time Americans who stand with the Constitution are going to wipe the floor of ALL OF THE ANTIFA BLM AND KKKNAZIS.,0.2625,0,,none,,0,0,0,0,0
1466,1466,Shes so right If it wasnt for white privilege I would have never been able to pay for university by working night shifts at minimum wage.,0.7,1,whites,race,prejudice against whites,1,0,0,0,0
835,835,Lets be fair. There is a lot of hate thrown at Westerners by Muslim extremists including hate that is lethal.  Targeting a scurrilous but ineffectual organ like The Rebel is really unnecessary. If they take satirical pot shots at Muslims so be it its their constitutional right to do so.,0.833333333,1,muslims,religion,prejudice against muslims,0,1,0,0,0
6914,6914,Migrants need help. They flee to find better living conditions and I think our country is suited to their needs.,0.25,0,migrants,none,,0,0,0,0,0
2858,2858,Trudeau is treating Canadians like idiots. There will still be cash for access but it will be different somehow. These are the thoughts of a pot head . Would journalists please find out how much and when he is smoking weed.,0.264705882,0,,none,,0,0,0,0,0
6478,6478,We should treat everyone as if they came from our same family. LGBT+ people are not different.,0.25,0,lgbtq,none,,0,0,0,0,0
5656,5656,"Feminism is not a racist ideology. Feminism is about full human rights, and respect for women's dignity.",0.25,0,women,none,,0,0,0,0,0
4487,4487,"Let me be absolutely clear, you are not in the ""position"" of tolerating hate; you are in the position of condemning hatred, no matter who is the target.",0.25,0,muslims,none,,0,0,0,0,0
6360,6360,This is not true for me. I don't think it would be in the interest of our country not to welcome refugees. They are a great resource to us.,0.25,0,migrants,none,,0,0,0,0,0
3442,3442,Things are getting worse because of idiotic ideologies like White Nationalism and the president that supports them.,0.507462687,1,whites,race,prejudice against whites,1,0,0,0,0
4845,4845,The majority of Jews are not members of the 'roosters' but rather are on the fringes of society.,0.25,0,jews,none,,0,0,0,0,0
1974,1974,A motion to quell antimuslim hate?  How about we start with the killings of our soldiers on the streets of Canada?  Or about trying to behead our PM and blow up our Parliament buildings or attempting to blow up our VIA Rail trains  or killing daughters for wearing lipstick.   Kind of turns people off of Islam.,0.6,1,muslims,religion,prejudice against muslims,0,1,0,0,0
916,916,trump is a racist and bigot.  he tried to undermine Obama citizenship he dislikes muslims blacks and other minorities and made denigrating remarks against the muslim mayor.  had the mayor been white he would not have made those comments.  he hired an outwardly racist AG in sessions etc.  he did not rent to blacks in their apartments in NYC. etc.,0.5125,0,,none,,0,0,0,0,0
4658,4658,The percentage of sexual crimes committed by Italians is much higher than the percentage of those committed by foreigners.,0.25,0,migrants,none,,0,0,0,0,0
7364,7364,"The discrimination you are describing is against people who are transgender, gay or lesbian. The root of that discrimination is a lack of knowledge about gender identity and is not necessarly related to sexual preferences.",0.25,0,lgbtq,none,,0,0,0,0,0
1349,1349,Lock Her Up Another reason why criminals are walking our streets Just do YOUR JOB what you were hired to do Id sue her like how the Gays sued a baker who didnt want to the Gays cake,0.5,1,gays,lgbtq,prejudice against gays,0,0,0,1,0
567,567,There have been over 30000 terrorist attacks worldwide committed by Muslims since 911 yet you focus on the attacks of a few mentally ill white guys.,0.5,1,muslims,religion,prejudice against muslims,0,1,0,0,0
6736,6736,"Human beings are members of a unique and interrelated human family, which is defined by their similarities and differences, not by the colour of their skin.",0.25,0,poc,none,,0,0,0,0,0
3945,3945,In Amerikkka black people because identifying someone using a colour is just so enlightened are only allowed to be grateful  Anything else is uppity and makes people nervous because it does not fit the traditional narrative of white hegemony.,0.5,1,"blacks,whites",race,prejudice against blacks and whites,1,0,0,0,0
4721,4721,In a democratic society there must be space for women. Don't you think so?,0.25,0,women,none,,0,0,0,0,0
6871,6871,"You're basically saying that because Jews have a different religion, they cannot be citizens?",0.25,0,jews,none,,0,0,0,0,0
4768,4768,This is not true. Rape and torture of women and children is forbidden by the Qur'an.,0.25,0,muslims,none,,0,0,0,0,0
8296,8296,"My impression is that the rape gangs originate from people of any community, not only Muslims. Do you have more evidence that supports what you're saying?",0.25,0,muslims,none,,0,0,0,0,0
3320,3320,are these players protesting against Trump or the way blacks are treated in America.,0.5,1,blacks,race,prejudice against blacks,1,0,0,0,0
8189,8189,"Being employed as a foreigner is a normal, mainstream, established practice in Britain, so why shouldn't it be the same all around the world?",0.25,0,migrants,none,,0,0,0,0,0
4933,4933,"Marriage should be a choice for all, irrespective of the gender of partners..",0.25,0,lgbtq,none,,0,0,0,0,0
